KEY	DT_OPERACAO	VLR_RENDA_LIQUIDA	GRAU_DE_INSTRUCAO	VLR_SOLICITADO	VLR_PARCELA	UF	SEXO	QTD_PARCELAS	PRODUTO	ALVO	IDADE	SCORE
835	14/09/2016	2633.09	ENSINO MEDIO COMPLETO                                                                               	5000.00	1057.78	SP	F	12	7770	1	75	38.89
836	18/10/2016	1642.08	POS-GRADUACAO INCOMPLETO                                                                            	2000.00	478.91	SP	F	12	7770	1	66	54.69
837	23/05/2016	933.02	ENSINO MEDIO COMPLETO                                                                               	913.39	213.24	DF	M	12	7817	0	64	66.35
838	07/03/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1248.26	251.74	PE	F	12	7770	0	63	80.27
839	06/10/2016	911.16	ENSINO MEDIO COMPLETO                                                                               	1480.90	407.45	MG	M	12	7817	0	59	44.21
840	21/06/2016	1853.23	ENSINO MEDIO COMPLETO                                                                               	300.00	59.63	BA	M	12	7770	0	65	60.35
841	11/05/2016	953.20	ENSINO MEDIO COMPLETO                                                                               	1067.98	229.62	PE	F	12	7770	1	43	67.13
842	20/09/2016	1528.86	ENSINO MEDIO COMPLETO                                                                               	2000.00	489.09	RJ	M	12	7770	0	74	36.65
843	19/09/2016	1322.45	ENSINO MEDIO COMPLETO                                                                               	2212.90	580.14	MG	M	12	7817	1	59	34.35
844	03/08/2016	880.00	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	1765.48	393.69	PE	F	12	7770	0	78	72.99
845	28/01/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1213.89	280.68	SP	F	12	7770	0	65	61.41
846	28/09/2016	1064.17	ENSINO MEDIO COMPLETO                                                                               	500.00	132.61	SP	M	8	7770	1	42	67.16
847	08/08/2016	1178.89	ENSINO MEDIO COMPLETO                                                                               	2367.79	521.28	MG	F	12	7770	1	43	31.40
848	10/10/2016	2343.31	ENSINO MEDIO COMPLETO                                                                               	700.00	155.20	PA	M	12	7770	0	75	65.09
849	27/09/2016	2463.46	ENSINO MEDIO INCOMPLETO                                                                             	2000.00	604.52	PA	M	12	7770	1	68	17.86
850	01/06/2016	749.43	ENSINO MEDIO COMPLETO                                                                               	1000.00	223.45	SP	F	12	7770	0	60	65.26
851	26/08/2016	1574.17	EDUCACAO SUPERIOR COMPLETO                                                                          	1687.12	392.35	AL	F	12	7770	0	68	59.99
852	27/09/2016	692.00	ENSINO MEDIO COMPLETO                                                                               	1176.42	298.38	SP	F	12	7817	0	42	49.16
853	22/08/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1664.66	389.12	MG	F	12	7770	1	41	32.53
854	08/09/2016	816.45	ENSINO MEDIO COMPLETO                                                                               	941.71	255.08	SP	F	12	7770	1	69	40.88
855	06/09/2016	752.92	ENSINO MEDIO COMPLETO                                                                               	390.43	83.91	SP	F	12	7770	1	28	44.07
856	05/08/2016	853.59	ANALFABETO                                                                                          	938.59	215.19	SP	F	12	7770	1	61	28.09
857	17/05/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1066.16	251.45	PB	F	12	7817	0	64	54.20
858	25/07/2016	1552.58	ENSINO MEDIO COMPLETO                                                                               	2420.69	594.63	RJ	F	12	7770	0	68	19.04
859	18/10/2016	930.01	ENSINO MEDIO COMPLETO                                                                               	1530.65	390.58	MG	F	12	7817	0	43	35.53
860	11/10/2016	1009.78	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1300.00	282.11	SP	M	12	7770	0	48	42.05
861	13/05/2016	1542.33	ENSINO MEDIO COMPLETO                                                                               	3053.12	642.28	RJ	M	12	7770	1	56	33.90
862	13/07/2016	2312.19	ENSINO MEDIO COMPLETO                                                                               	4005.89	1034.41	SP	F	12	7817	0	55	29.55
863	13/06/2016	572.00	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	1248.50	251.45	SP	F	12	7770	0	66	67.04
864	24/10/2016	616.38	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1108.68	252.93	GO	F	12	7770	0	64	77.69
865	12/09/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1336.16	286.00	CE	F	12	7831	0	35	57.34
866	19/07/2016	880.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1344.50	315.49	SP	F	12	7770	1	61	54.97
867	14/09/2016	1036.00	ANALFABETO                                                                                          	1045.67	264.85	RO	F	12	7817	0	48	61.58
868	30/05/2016	1441.96	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1500.00	336.15	SP	M	12	7770	0	61	54.14
869	23/06/2016	848.85	ENSINO MEDIO COMPLETO                                                                               	1591.25	379.76	MG	M	12	7770	0	56	52.49
870	26/09/2016	574.12	ENSINO FUNDAMENTAL COMPLETO                                                                         	1141.49	249.45	CE	M	12	7770	0	53	61.53
871	12/09/2016	574.15	ENSINO MEDIO COMPLETO                                                                               	500.00	104.45	RJ	M	12	7770	0	75	74.51
872	12/08/2016	573.53	EDUCACAO SUPERIOR COMPLETO                                                                          	1266.18	256.58	PE	F	12	7770	1	57	79.20
873	12/09/2016	3767.81	EDUCACAO SUPERIOR COMPLETO                                                                          	5000.00	1175.68	SP	M	11	7770	1	55	12.57
874	18/08/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1000.00	208.23	RJ	F	12	7770	0	74	79.41
875	13/10/2016	630.89	ENSINO MEDIO COMPLETO                                                                               	1487.14	311.78	SP	F	12	7831	1	51	77.63
876	28/07/2016	573.95	ENSINO MEDIO COMPLETO                                                                               	1168.23	254.48	SP	F	12	7817	0	66	66.21
877	12/08/2016	1179.09	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1500.00	320.06	RJ	F	12	7770	0	50	62.03
878	30/08/2016	603.00	ENSINO MEDIO COMPLETO                                                                               	1118.05	269.65	PE	F	12	7817	0	46	63.16
